91 ; Irena Eno   ; 1992/12/11 ; 954321831 ; Boulder Avenue ; theatre ;  ;
92 ; Justin Poat   ; 1937/5/24 ; 957526842 ; Marble Way ; music ;  ;
93 ; Frieda Landrith   ; 1998/5/19 ; 922024353 ; Duchess Lane ; dance ;  ;
94 ; Arlen Hardegree   ; 1957/10/16 ; 968030574 ; Mount Lane ; music ;  ;
95 ; Anisa Lieber   ; 1979/11/14 ; 950260770 ; Bright Route ; theatre ;  ;
96 ; Sylvester Berggren   ; 1987/7/15 ; 967851164 ; Middle Way ; theatre ;  ;
97 ; Kenisha Ivester   ; 1998/12/1 ; 943620963 ; Hanover Court ; dance ;  ;
98 ; Lilli Eley   ; 1998/5/4 ; 933929442 ; 3rd Street North ; theatre ;  ;
99 ; Emory Sheridan   ; 1932/8/20 ; 933117256 ; Sapphire Row ; theatre ;  ;
100 ; Chrystal Mohamed   ; 1994/7/13 ; 950506978 ; Museum Lane ; theatre ;  ;
101 ; Despina Primmer   ; 1956/4/17 ; 924415624 ; Church Street South ; dance ;  ;
102 ; Jay Winfrey   ; 1998/11/28 ; 948658224 ; Cambridge Court ; theatre ;  ;
103 ; Liliana Danaher   ; 1973/7/10 ; 926987414 ; Arch Route ; dance ;  ;
104 ; Jackie Beaty   ; 1962/2/28 ; 956299601 ; Aurora Avenue ; music ;  ;
105 ; Carina Sharples   ; 1976/2/17 ; 927249732 ; Sunny Route ; theatre ;  ;
106 ; Sammie Doughty   ; 1939/8/14 ; 924702535 ; Bury Lane ; music ;  ;
107 ; Noella Ingrassia   ; 1975/3/9 ; 952261417 ; Angel Avenue ; theatre ;  ;
108 ; Nella Killgore   ; 1996/6/15 ; 969378370 ; Timber Passage ; theatre ;  ;
109 ; Kayce Bachelder   ; 1946/11/26 ; 928789024 ; Feathers Avenue ; theatre ;  ;
110 ; Torie Fulkerson   ; 1985/9/15 ; 924438400 ; Main Avenue ; music ;  ;
111 ; Sumiko Tilly   ; 1939/4/9 ; 947615437 ; Timber Street ; music ;  ;
112 ; Leonie Serrao   ; 1998/2/1 ; 950170005 ; Aviation Lane ; music ;  ;
113 ; Emory Lintz   ; 1956/2/17 ; 946270362 ; Cottage Street ; theatre ;  ;
114 ; Andy Blackstone   ; 1963/8/15 ; 936847437 ; Clinton Street ; theatre ;  ;
115 ; Thora Vegas   ; 1995/1/29 ; 931820655 ; Liberty Lane ; theatre ;  ;
116 ; Ciera Janik   ; 1934/8/31 ; 932530348 ; Great Avenue ; dance ;  ;
117 ; Jillian Pagel   ; 2002/7/4 ; 948709933 ; Angel Avenue ; theatre ;  ;
118 ; Wilton Pellegrin   ; 1990/5/13 ; 925554712 ; Temple Boulevard ; music ;  ;
119 ; Jeraldine Moats   ; 1961/7/9 ; 936863917 ; Globe Avenue ; dance ;  ;
120 ; Lila Chadd   ; 1987/11/7 ; 969779708 ; Anchor Boulevard ; theatre ;  ;
121 ; Hyo Lukas   ; 1977/8/24 ; 947669258 ; Knight Avenue ; music ;  ;
122 ; Lakeisha Astle   ; 1965/6/4 ; 935280002 ; Bury Lane ; dance ;  ;
123 ; Tamatha Marquis   ; 1959/8/7 ; 958850849 ; Pebble Boulevard ; music ;  ;
124 ; Meridith Milian   ; 1950/4/16 ; 949440275 ; Honor Lane ; theatre ;  ;
125 ; Georgie Hilley   ; 1944/6/7 ; 956250312 ; Front Street North ; dance ;  ;
126 ; Terisa Darley   ; 1986/4/21 ; 934607586 ; Colonial Avenue ; dance ;  ;
127 ; Princess Felan   ; 1962/5/29 ; 952288732 ; Marine Lane ; theatre ;  ;
128 ; Carolee Booth   ; 1997/12/16 ; 927000082 ; Auburn Lane ; theatre ;  ;
129 ; Chiquita Scogin   ; 1949/1/18 ; 937829299 ; Serenity Street ; music ;  ;
130 ; Twyla Myler   ; 1940/7/13 ; 948467214 ; Cathedral Street ; music ;  ;
131 ; Agripina Maheux   ; 1942/2/19 ; 961255869 ; Emerald Way ; theatre ;  ;
132 ; Venice Thrush   ; 1991/3/13 ; 961988578 ; Beaver Street ; dance ;  ;
133 ; Christine Fetty   ; 1963/1/22 ; 932632253 ; Cherry Lane ; music ;  ;
134 ; Spencer Eisenbarth   ; 1944/5/26 ; 964499875 ; River Way ; theatre ;  ;
135 ; Tamie Warlick   ; 1936/4/14 ; 958462088 ; Beech Passage ; music ;  ;
136 ; Kennith Bamber   ; 1997/10/2 ; 942816295 ; Hawthorne Avenue ; dance ;  ;
137 ; Elizbeth In   ; 1996/4/24 ; 943647040 ; North Street ; theatre ;  ;
138 ; Yahaira Husman   ; 1972/1/27 ; 940542431 ; Laurel Lane ; dance ;  ;
139 ; Azalee Necessary   ; 1973/3/14 ; 961305774 ; Gray Boulevard ; music ;  ;
140 ; Debera Mang   ; 1938/11/6 ; 932501611 ; Lawn Row ; music ;  ;
141 ; George Dillow   ; 1985/3/20 ; 946495981 ; Theater Lane ; theatre ;  ;
142 ; Arnita Border   ; 1979/9/2 ; 938670318 ; Grotto Avenue ; theatre ;  ;
143 ; Maira Leggett   ; 1953/2/8 ; 962330369 ; Cypress Way ; dance ;  ;
144 ; Iola Wildermuth   ; 1961/4/9 ; 941224697 ; Sycamore Route ; theatre ;  ;
145 ; Alethia File   ; 1973/1/6 ; 966115318 ; Winter Street ; dance ;  ;
146 ; Graig Vise   ; 2000/10/26 ; 952412987 ; Ivy Avenue ; music ;  ;
147 ; Jann Gonsalez   ; 2000/11/8 ; 962966011 ; Parkside Avenue ; dance ;  ;
148 ; Jamey Stayer   ; 1961/9/2 ; 949057548 ; Barley Boulevard ; dance ;  ;
149 ; Barry Boynton   ; 1932/5/5 ; 934059707 ; Adams Street ; dance ;  ;
150 ; Emma Mciver   ; 1935/1/9 ; 962065535 ; Pearl Street ; music ;  ;
151 ; Yetta Davalos   ; 1959/1/20 ; 958844745 ; King Boulevard ; theatre ;  ;
152 ; Sammy Latshaw   ; 1963/10/19 ; 932020157 ; Ironwood Lane ; dance ;  ;
153 ; Tomeka Barrow   ; 1991/1/23 ; 934544567 ; Wharf Avenue ; music ;  ;
154 ; Dalton Sayer   ; 1971/8/4 ; 925575590 ; Crown Passage ; theatre ;  ;
155 ; Juana Lampman   ; 1988/1/1 ; 941214500 ; Arch Street ; theatre ;  ;
156 ; Shiela Redman   ; 1958/12/7 ; 944766159 ; Seacoast Avenue ; theatre ;  ;
157 ; Leif Case   ; 1940/2/14 ; 969363075 ; Gravel Lane ; music ;  ;
158 ; Tifany Rossi   ; 1980/4/11 ; 969694985 ; Marine Way ; dance ;  ;
159 ; Burton Hellickson   ; 1944/5/19 ; 937880896 ; New Castle Boulevard ; theatre ;  ;
160 ; Enrique Vallone   ; 1943/2/6 ; 927381597 ; Pinnacle Lane ; dance ;  ;
161 ; Georgianna Pell   ; 1994/1/31 ; 968029742 ; Hawthorne Lane ; music ;  ;
162 ; Lashaun Kupfer   ; 1999/3/5 ; 931463288 ; Beech Street ; music ;  ;
163 ; Maragaret Drakes   ; 1970/10/12 ; 954268137 ; Pearl Passage ; theatre ;  ;
164 ; Danilo Kildow   ; 1957/8/15 ; 953821373 ; Poplar Passage ; theatre ;  ;
165 ; Willene Emmerich   ; 1945/5/31 ; 965141769 ; Kings Way ; dance ;  ;
166 ; Sherman Yarman   ; 1937/3/15 ; 923491203 ; Marble Street ; music ;  ;
167 ; Irene Southwick   ; 1992/9/14 ; 950820336 ; Sapphire Avenue ; music ;  ;
168 ; Brigitte Lalor   ; 1938/9/29 ; 965846090 ; Archer Lane ; theatre ;  ;
169 ; Mica Zucco   ; 1976/12/10 ; 960708844 ; East Street ; theatre ;  ;
170 ; Russell Amendola   ; 1956/1/21 ; 947174099 ; Brewer Lane ; theatre ;  ;
171 ; Sylvia Michels   ; 1930/10/25 ; 954175538 ; High Way ; music ;  ;
172 ; Sixta Koch   ; 1944/3/9 ; 927247124 ; Fox Way ; dance ;  ;
173 ; Tessa Concannon   ; 1964/2/27 ; 921772666 ; Clinton Street ; music ;  ;
174 ; Leda Gallup   ; 1998/3/11 ; 936388160 ; East Avenue ; theatre ;  ;
175 ; Robyn Durfee   ; 2000/8/20 ; 951857657 ; Ember Street ; theatre ;  ;
176 ; Bev Mimms   ; 1952/4/6 ; 958857844 ; Market Boulevard ; theatre ;  ;
177 ; Jacquelynn Schwindt   ; 1930/10/31 ; 930494225 ; Rowan Row ; theatre ;  ;
178 ; Genoveva Angulo   ; 1951/1/7 ; 929639257 ; Dove Lane ; dance ;  ;
179 ; Parthenia Meader   ; 1963/7/11 ; 938111074 ; Lilypad Avenue ; dance ;  ;
180 ; Maple Pender   ; 1942/5/12 ; 933749088 ; Granite Route ; music ;  ;
181 ; Dorotha Norsworthy   ; 1982/9/24 ; 926202554 ; Beachside Lane ; dance ;  ;
182 ; Karin Kim   ; 1965/6/30 ; 943524505 ; Gem Lane ; music ;  ;
183 ; Latisha Porta   ; 1940/6/14 ; 968930543 ; Crystal Passage ; theatre ;  ;
184 ; Talisha Melle   ; 1949/4/26 ; 929948974 ; Ranger Boulevard ; theatre ;  ;
185 ; Denyse Hoyos   ; 1995/9/28 ; 924101271 ; 12th Street East ; theatre ;  ;
186 ; Deeann Penland   ; 1933/10/1 ; 956764471 ; Columbia Street ; dance ;  ;
187 ; Kiyoko Keeler   ; 1944/7/30 ; 967770024 ; Lake Street ; music ;  ;
188 ; Aleta Whitlow   ; 1990/1/12 ; 933913884 ; Parkside Boulevard ; theatre ;  ;
189 ; Micheal Start   ; 1974/5/24 ; 950934377 ; Nova Route ; dance ;  ;
190 ; Kori Leslie   ; 1983/5/24 ; 959777539 ; Ironwood Route ; dance ;  ;
191 ; Ettie Dannenberg   ; 1930/7/15 ; 943412293 ; Bright Lane ; music ;  ;
192 ; Oscar Paez   ; 1952/11/1 ; 964334411 ; Crescent Boulevard ; theatre ;  ;
193 ; Jackie Lagarde   ; 1947/4/27 ; 948845681 ; Wharf Lane ; dance ;  ;
194 ; Elden Claxton ; 1937/7/3 ; 963425837 ; Paradise Street ; music ;  ;
195 ; Tequila Lanasa ; 1963/1/2 ; 930494140 ; Manor Boulevard ; theatre ;  ;
196 ; Liza Faircloth ; 1960/12/24 ; 925295334 ; Aviation Row ; theatre ;  ;
197 ; Neida Cunniff ; 1951/3/29 ; 922276662 ; Laurel Street ; dance ;  ;
198 ; Venus Jarvie ; 1943/8/31 ; 961849134 ; Clay Street ; theatre ;  ;
199 ; Suzann Feuerstein ; 1980/11/30 ; 926957271 ; Dawn Passage ; music ;  ;
200 ; Rodger Boyers ; 1988/3/18 ; 935375025 ; Dawn Boulevard ; music ;  ;
